,category_level_1,total_price_in_basket,number_of_unique_basket
300,Travel pillows,136.41147186873795,231
301,Trollies,731.7846519677929,26966
302,Vacuum Cleaners & Floor Care Appliances,3339.5975609756097,164
303,Vacuum Cleaners Accessories,3527.373332316081,9
304,Wall Stickers & Decals,456.67963771061636,644
305,Wallpapers & Wall Stickers,678.571285046729,442
306,Wardrobe Organisers,684.7329993567968,6558
307,Wardrobe Organizers,532.5673412517131,2193
308,Wardrobes,479.83699901473426,36882
309,Wash & Waxes,431.9678258043549,3077
310,Washer & Dryer Parts & Accessories,661.9311765850292,102
311,Water Bottles & Accessories,243.85914445448387,17725
312,"Water Pumps, Parts & Accessories",245.79053780832996,4946
313,Water Purifiers Systems,195.86519211165427,703
314,Watering Systems & Garden Hoses,243.49119266203783,109
315,Whisks & Beaters,236.5873261205564,2588
316,Windows & Glass,328.1641294690032,201
317,Wrenches,366.1466666666667,6
